"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"Via-0.6mm";19;"Via-0.6mm";;;
2;"U12";"ParticlePhoton";1;"PHOTON";;;
3;"S6,S1";"SOIC-16_3.9x9.9mm_Pitch1.27mm";2;"DG444";;;
4;"C1,C2,C4,C7,C8,C9,C10,C14,C15,C16,C17,C19,C20,C21,C22,C24,C25,C26,C27,C28,C32,C36,C37,C38,C39,C40,C41,C42,C43,C44,C46,C47,C48,C49,C50,C51,C52,C53";"C_0805_HandSoldering";38;"0.1uF";;;
5;"C3,C11";"C_0603_HandSoldering";2;"1nF";;;
6;"C5";"C_0603_HandSoldering";1;"2nF";;;
7;"C6";"C_0402";1;"15pF";;;
8;"C12,C23,C30,C31";"C_0603_HandSoldering";4;"1uF";;;
9;"C13";"C_0603_HandSoldering";1;"50pF";;;
10;"C18";"C_0603_HandSoldering";1;"330pF";;;
11;"C29,C33";"C_0603_HandSoldering";2;"0.33uF";;;
12;"C34,C35";"C_0805_HandSoldering";2;"10uF";;;
13;"C45";"C_0603_HandSoldering";1;"22nF";;;
14;"D1,D2,D3,D4";"SOT-23";4;"TL4050B41";;;
15;"Q1";"TO-92_Molded_Narrow";1;"MPSA64_PNP";;;
16;"Q2";"TO-92_Molded_Narrow";1;"MPSA14_NPN";;;
17;"R1,R2";"R_0805_HandSoldering";2;"2k";;;
18;"R3";"R_0603_HandSoldering";1;"12";;;
19;"R4,R7,R10,R13,R14,R17,R20,R38,R39,R42,R43";"R_0603_HandSoldering";11;"1k";;;
20;"R5";"R_0603_HandSoldering";1;"500k";;;
21;"R6,R11,R15,R19,R23,R25,R26,R27,R30,R31,R32,R34,R36,R37,R44";"R_0603_HandSoldering";15;"10k";;;
22;"R9";"R_0603_HandSoldering";1;"3k";;;
23;"R12";"R_0603_HandSoldering";1;"50";;;
24;"R18";"R_0603_HandSoldering";1;"500";;;
25;"R22";"R_0603_HandSoldering";1;"5k";;;
26;"R28,R29";"R_0603_HandSoldering";2;"2k";;;
27;"R45";"R_0603_HandSoldering";1;"19k";;;
28;"R46,R47";"R_0603_HandSoldering";2;"INF";;;
29;"U1,U2";"SOIC-8_3.9x4.9mm_Pitch1.27mm";2;"LT1028";;;
30;"U3,U4,U5,U6,U7,U8,U20";"SOIC-8_3.9x4.9mm_Pitch1.27mm";7;"OPA2227";;;
31;"U9";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"ADR4540";;;
32;"U10";"MSOP-10_3x3mm_Pitch0.5mm";1;"AD5541A";;;
33;"U11";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"AD8628_tri";;;
34;"U13";"ED2610";1;"ED2610";;;
35;"U14,U15";"TO-220_Neutral123_Vertical";2;"7805_corrected";;;
36;"U16";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"AD820";;;
37;"U17";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"ADA4177-1";;;
38;"S2,S7";"CJS-1200TB-SPDT";2;"spdt";;;
39;"RV1";"VishaySpectrol536";1;"200";;;
40;"RV2";"VishaySpectrol536";1;"10k";;;
41;"RV3,RV4,RV5";"VishaySpectrol536";3;"1k";;;
42;"P1";"Dual-BNC-ARF2136";1;"Error In-Ext Curr Mod";;;
43;"P2";"Dual-BNC-ARF2136";1;"Curr-Piezo Out";;;
44;"P3";"Dual-BNC-ARF2136";1;"In-Out Mon";;;
45;"P4";"Dual-BNC-ARF2136";1;"Trans In-Out";;;
46;"S3,S4,S5,S8,S9";"SPDT-Horizontal";5;"spdt";;;
47;"J1";"DB9_Throughhole";1;"DB9";;;
